epoch,train_loss,valid_loss
1,2.6654240731839782,2.6007247311728343
2,2.596241906837181,2.576033796582903
3,2.579009444625289,2.57007588659014
4,2.572098802637171,2.565577575138637
5,2.566086283436528,2.5623086520603726
6,2.561375344241107,2.5600667681012834
7,2.556938542260064,2.5586274351392473
8,2.5533264919563576,2.557656867163522
9,2.5499738145757607,2.5569849695478166
10,2.5470441535667137,2.5564962455204556
11,2.5431323228058993,2.5568456990378245
12,2.54026785603276,2.556698594774519
13,2.5368761044961436,2.5565828255244663
14,2.5335746606191,2.557776314871652
