seed,model,top_k,periods,avg_realized_return,win_rate,cumulative_return_proxy,max_drawdown
7,m3net_full,5,6,0.0166439175690939,0.6666666666666666,0.1004620170286869,-0.011546529834600139
7,m3net_full,10,6,0.0169982380155776,0.6666666666666666,0.1025808008699873,-0.02450555046334857
7,m3net_full,20,6,0.018301549453723,0.8333333333333334,0.112922920156999,-0.01292602863779646
7,m3net_reranker,5,6,0.0291482109210974,1.0,0.1873148409584453,0.0
7,m3net_reranker,10,6,0.0162769881432001,0.8333333333333334,0.100787699437149,-0.01737527690936691
7,m3net_reranker,20,6,0.018301549453723,0.8333333333333334,0.112922920156999,-0.012926028637796572
7,m3net_risk_reranker,5,6,0.0143414440677218,0.5,0.0821940345652054,-0.05772624010291394
7,m3net_risk_reranker,10,6,0.0119722964377538,0.8333333333333334,0.0716180569893538,-0.035373284682647
7,m3net_risk_reranker,20,6,0.018301549453723,0.8333333333333334,0.112922920156999,-0.012926028637796572
7,m3net_topk_reranker,5,6,0.0042882628328705,0.8333333333333334,0.0250161568468938,-0.0352829869721657
7,m3net_topk_reranker,10,6,0.012015218081826,0.8333333333333334,0.0722997662208391,-0.03522649801252575
7,m3net_topk_reranker,20,6,0.018301549453723,0.8333333333333334,0.112922920156999,-0.012926028637796572
21,m3net_full,5,6,0.0088152391199158,0.5,0.0515987328387559,-0.04046715977523141
21,m3net_full,10,6,0.0152119757170105,0.6666666666666666,0.0921152531006577,-0.019213002715926075
21,m3net_full,20,6,0.0150720654262555,0.8333333333333334,0.0921139047681862,-0.026709067710161793
21,m3net_reranker,5,6,0.0237520455994542,0.6666666666666666,0.147724465644617,-0.02266412067692125
21,m3net_reranker,10,6,0.019877454676528,0.8333333333333334,0.1219915661660662,-0.029235775800740882
21,m3net_reranker,20,6,0.0150720654262555,0.8333333333333334,0.0921139047681862,-0.016384098234214717
21,m3net_risk_reranker,5,6,0.020038739847935,1.0,0.12615797488182,0.0
21,m3net_risk_reranker,10,6,0.0235212662351748,0.8333333333333334,0.147318238518969,-0.00608190805170572
21,m3net_risk_reranker,20,6,0.0150720654262555,0.8333333333333334,0.0921139047681862,-0.016384098234214717
21,m3net_topk_reranker,5,6,0.0282760358801214,0.6666666666666666,0.1778239571362481,-0.027287663509037885
21,m3net_topk_reranker,10,6,0.0168618649753038,0.6666666666666666,0.1028658058135265,-0.03012370708215595
21,m3net_topk_reranker,20,6,0.0150720654262555,0.8333333333333334,0.0921139047681862,-0.016384098234214717
42,m3net_full,5,6,0.0031359733927443,0.3333333333333333,0.0166325740363284,-0.037315980146465755
42,m3net_full,10,6,0.0132582202772815,0.5,0.0791379256483979,-0.019537790278215894
42,m3net_full,20,6,0.0153400032142493,0.5,0.0938384474507292,-0.012735563173028042
42,m3net_reranker,5,6,0.0203301901584911,0.6666666666666666,0.1238941562202982,-0.018640232592159522
42,m3net_reranker,10,6,0.0183593053468273,0.5,0.1125276263269818,-0.006607490822022832
42,m3net_reranker,20,6,0.0153400032142493,0.5,0.0938384474507292,-0.012735563173028153
42,m3net_risk_reranker,5,6,0.0130732069529459,0.8333333333333334,0.0786172044839907,-0.028435344370466797
42,m3net_risk_reranker,10,6,0.0177576901733249,0.6666666666666666,0.1099564101001158,-0.002092527381644116
42,m3net_risk_reranker,20,6,0.0153400032142493,0.5,0.0938384474507292,-0.012735563173028153
42,m3net_topk_reranker,5,6,0.0186880918170377,0.6666666666666666,0.1150096949536854,-0.020104654874591454
42,m3net_topk_reranker,10,6,0.0231441571999867,0.8333333333333334,0.1436916171778364,-0.019882679708046025
42,m3net_topk_reranker,20,6,0.0153400032142493,0.5,0.0938384474507292,-0.012735563173028153
